!POSITION	S	NAME	GAMMA	EkMeV	pnum	xcen[m]	xpcen[rad]	ycen[m]	ypcen[rad]	zcen[m]	dppcen[]	xgemit[m.rad]	xnemit[m.rad]	xalpha	xbeta[m/rad]	xgamma[rad/m]	ygemit[m.rad]	ynemit[m.rad]	yalpha	ybeta[m/rad]	ygamma[rad/m]	zgemit[m.rad]	znemit[m.rad]	zalpha	zbeta[m]	zgamma[rad/m]	xmin[m]	xpmin	ymin[m]	ypmin[rad]	zmin[m]	dppmin[]	xmax[m]	xpmax[rad]	ymax[m]	ypmax[rad]	zmax[m]	dppmax[rad]	xrms[m]	xprms[rad]	yrms[m]	yprms[rad]	zrms[m]	dpprms[]	!xcenGfit[m]	xpcenGfit[rad]	xalphaGfit	xbetaGfit[m/rad]	xnemitGfit[m.rad]	ycenGfit[m]	ypcenGfit[rad]	yalphaGfit	ybetaGfit[m/rad]	ynemitGfit[m.rad]	zcenGfit[m]	dppcenGfit[rad]	zalphaGfit	zbetaGfit[m/rad]	znemitGfit[m.rad]
1	0	PATGUN	25.851104397402867	12.698888253413246	20000	2.3754869599157404e-20	-2.079228716284076e-20	-3.2395960913866874e-20	1.929879867024198e-21	4.9282409750328605e-20	9.990753612864472e-23	3.894946998197114e-07	1.0061331902189212e-05	-3.8753206525206276	11.703430450697928	1.3686679497375636	3.881708412430703e-07	1.0027134310958032e-05	-3.601857392796313	11.098759801600279	1.2590034317191634	1.2818649418801545e-08	3.3112821920315177e-07	-.005775115811444527	126.26534123205681	.007920093845267673	-.008255327214685478	-.0029569328020802427	-.008598295528058691	-.002810413643296663	-.005308280318262649	-4.516189561627762e-05	.007554639859019261	.0025671460731062127	.007789765966813912	.002501380207903805	.005080476262088682	4.0619045898968225e-05	.0021350466342109392	.0007301293804771125	.0020756239854419567	.0006990768349890733	.0012722229140363272	1.007595684620047e-05	-1.4221248974762707e-05	-4.270810247647525e-06	-3.9046374632782523	11.756703710154058	9.939654380830606e-06	-1.3446366978087099e-05	-5.668429934988016e-06	-3.5916394842824184	11.07577561605701	9.88415219865842e-06	-7.926030345023483e-06	-5.1538269458129275e-08	-.006363123736709553	127.29055547500562	3.25330012321665e-07
2	0	LAT001.1	25.851104397402867	12.698888253413246	20000	2.3754869599157404e-20	-2.079228716284076e-20	-3.2395960913866874e-20	1.929879867024198e-21	4.9282409750328605e-20	9.990753612864472e-23	3.894946998197114e-07	1.0061331902189212e-05	-3.8753206525206276	11.703430450697928	1.3686679497375636	3.881708412430703e-07	1.0027134310958032e-05	-3.601857392796313	11.098759801600279	1.2590034317191634	1.2818649418801545e-08	3.3112821920315177e-07	-.005775115811444527	126.26534123205681	.007920093845267673	-.008255327214685478	-.0029569328020802427	-.008598295528058691	-.002810413643296663	-.005308280318262649	-4.516189561627762e-05	.007554639859019261	.0025671460731062127	.007789765966813912	.002501380207903805	.005080476262088682	4.0619045898968225e-05	.0021350466342109392	.0007301293804771125	.0020756239854419567	.0006990768349890733	.0012722229140363272	1.007595684620047e-05	-1.4221248974762707e-05	-4.270810247647525e-06	-3.9046374632782523	11.756703710154058	9.939654380830606e-06	-1.3446366978087099e-05	-5.668429934988016e-06	-3.5916394842824184	11.07577561605701	9.88415219865842e-06	-7.926030345023483e-06	-5.1538269458129275e-08	-.006363123736709553	127.29055547500562	3.25330012321665e-07
3	.101	ACAT11.1	25.851104397402867	12.698888253413246	20000	6.104584527114044e-13	-2.079228716284076e-20	8.874383516097647e-12	1.929879867024198e-21	-5.160085855813564e-08	9.990753612864472e-23	3.89494699220757e-07	1.0061331886717169e-05	-4.013556241986811	12.500207727201188	1.3686679518422642	3.881708439806156e-07	1.0027134381673633e-05	-3.729016840386455	11.839178770666791	1.2590034228401374	1.2818650985703082e-08	3.3112825967896934e-07	-.005776002487697287	126.26535795941753	.007920092877146517	-.008553981276907914	-.0029569328020802427	-.008882151027848353	-.002810413643296663	-.005308365445365973	-4.516189561627762e-05	.0078074849638952015	.0025671460731062127	.008036709561979449	.002501380207903805	.005080371782040707	4.0619045898968225e-05	.002206527735810998	.0007301293804771125	.0021437406595591537	.0006990768349890733	.0012722230760627792	1.007595684620047e-05	-1.4569790945483346e-05	-4.270810247647525e-06	-4.04356966709347	12.56195255596739	9.940368584733735e-06	-1.3790876263219932e-05	-5.668429934988016e-06	-3.718762147022524	11.817987865250753	9.883086349077165e-06	-7.976811989912408e-06	-5.1538269458129275e-08	-.006363986941517685	127.2902035400174	3.2532953542290817e-07
4	1.101	LAT001.2	25.85124921179045	12.698962253413246	20000	3.4083323565516144e-09	-6.001588960936715e-13	-3.218929325282628e-09	5.341368755065399e-13	-2.1595558215190726e-06	-.004246475034443913	3.8949338422248646e-07	1.006135436449737e-05	-5.3851362371332865	21.918946499194174	1.3686648805675472	3.8817159181960175e-07	1.0027209954603808e-05	-4.990667473312391	20.57735256881494	1.2589939226895535	1.1065366529040504e-06	2.8583944768142555e-05	-1.9895215626736886	1.4642124513801986	3.386254531348816	-.011520437867370597	-.0029569243249157047	-.011700466817012952	-.0028104053178984074	-.00531005362303536	-.006448605505270167	.01031108064709724	.002567139133283398	.010486190585094318	.0025013730823556977	.005079372887667282	.00010344824783583495	.0029218632155805584	.0007301273287576073	.0028262242837520995	.0006990748708554819	.0012728726350623928	.0019357207326987777	-1.833434711471355e-05	-4.270798317730049e-06	-5.427006373248067	22.038831880301984	9.947276997670875e-06	-1.9349427537402176e-05	-5.668414175639817e-06	-4.977108875972485	20.542964775302902	9.874909403713222e-06	-1.0217257427669324e-05	-.005102095917296816	-.3284276131309111	2.4205634418681434	1.713143577788736e-05
5	1.202	ACAT11.2	25.85124921179045	12.698962253413246	20000	4.096026043960743e-09	-6.001588960936715e-13	-3.8798016444803035e-09	5.341368755065399e-13	-2.8583453310186326e-06	-.004246475034443913	3.8949364434739734e-07	1.0061361084018197e-05	-5.523958245710335	23.025458017251527	1.368663966499153	3.8817225161385184e-07	1.0027226998343256e-05	-5.118359365494943	21.602684757480226	1.2589917827196107	1.1065375216642908e-06	2.8583967209870684e-05	-1.990037734306096	1.4648202113622224	3.3862518727464246	-.011821013725848132	-.0029569243249157047	-.011985916890566054	-.0028104053178984074	-.005310479051520969	-.006448605505270167	.010563966926295406	.002567139133283398	.01073404740960212	.0025013730823556977	.005079284666097748	.00010344824783583495	.002994706923207561	.0007301273287576073	.002895783621615285	.0006990748708554819	.001273137277108999	.0019357207326987777	-1.870330167719203e-05	-4.270798317730049e-06	-5.567082196023868	23.15381770435124	9.947733929214953e-06	-1.9868959810744806e-05	-5.668414175639817e-06	-5.104782791461424	21.563418951481577	9.87470017230969e-06	-1.0972411899956569e-05	-.005102095917296816	-.3282574656044726	2.4220234933806823	1.713077113023995e-05
6	2.202	$$$	25.851394026178035	12.699036253413247	20000	1.436721404325488e-08	-1.3204229868871285e-12	-1.377462963106711e-08	1.2023483711963175e-12	-9.775993949662292e-06	-.008489459702335644	3.894986912248674e-07	1.0061547901717874e-05	-6.901292345430507	35.53007862726546	1.3686385709200526	3.8818277508230146e-07	1.0027555096090122e-05	-6.385220217441763	33.17925025590588	1.2589506062691043	2.2107819646584325e-06	5.710902023242696e-05	-1.9966109699617849	.7361868007513963	6.773356110544586	-.014806607255544845	-.0029569158378865584	-.014820092656667712	-.0028103969182031487	-.005314697180848633	-.012859690127475985	.013067963850354756	.002567132317142794	.013192601715187687	.0025013659616849914	.005078406535494568	.00021081674966609326	.0037200697741354974	.0007301252852307153	.003588817833143346	.0006990729146756344	.0012757540913988	.0038696787372340044	-2.2805642968842647e-05	-4.270786457038773e-06	-6.952425701140315	35.750424445853554	9.94624876307325e-06	-2.544527782369333e-05	-5.668398582889012e-06	-6.369995543330538	33.12293478714894	9.87458071591653e-06	-1.844353848013124e-05	-.01040483344992052	-.30515778799073257	1.5730530494320263	2.6523512006948832e-05
