!POSITION	S	NAME	GAMMA	EkMeV	M11	M12	M13	M14	M15	M16	M21	M22	M23	M24	M25	M26	M31	M32	M33	M34	M35	M36	M41	M42	M43	M44	M45	M46	M51	M52	M53	M54	M55	M56	M61	M62	M63	M64	M65	M66
1	0	PATGUN	25.851104397402867	12.698888253413246	4.5584241302554595e-06	1.50941685425865e-06	-3.779289930695067e-09	-3.3905700944336004e-09	-3.052522560819612e-08	-3.058273371385895e-11	1.50941685425865e-06	5.330889122358922e-07	5.721661682002694e-09	1.3346226384415666e-09	-8.126741163936319e-09	-9.982477823715277e-12	-3.779289930695067e-09	5.721661682002694e-09	4.308214928941952e-06	1.3981360141993166e-06	2.880547553246921e-08	-3.0429687502671557e-10	-3.3905700944336004e-09	1.3346226384415666e-09	1.3981360141993166e-06	4.8870842121834e-07	9.00352478829064e-09	-9.123118563104594e-11	-3.052522560819612e-08	-8.126741163936319e-09	2.880547553246921e-08	9.00352478829064e-09	1.618551142999084e-06	7.4029184939885e-11	-3.058273371385895e-11	-9.982477823715277e-12	-3.0429687502671557e-10	-9.123118563104594e-11	7.4029184939885e-11	1.0152490636649415e-10
2	0	LAT001.1	25.851104397402867	12.698888253413246	4.5584241302554595e-06	1.50941685425865e-06	-3.779289930695067e-09	-3.3905700944336004e-09	-3.052522560819612e-08	-3.058273371385895e-11	1.50941685425865e-06	5.330889122358922e-07	5.721661682002694e-09	1.3346226384415666e-09	-8.126741163936319e-09	-9.982477823715277e-12	-3.779289930695067e-09	5.721661682002694e-09	4.308214928941952e-06	1.3981360141993166e-06	2.880547553246921e-08	-3.0429687502671557e-10	-3.3905700944336004e-09	1.3346226384415666e-09	1.3981360141993166e-06	4.8870842121834e-07	9.00352478829064e-09	-9.123118563104594e-11	-3.052522560819612e-08	-8.126741163936319e-09	2.880547553246921e-08	9.00352478829064e-09	1.618551142999084e-06	7.4029184939885e-11	-3.058273371385895e-11	-9.982477823715277e-12	-3.0429687502671557e-10	-9.123118563104594e-11	7.4029184939885e-11	1.0152490636649415e-10
3	.101	ACAT11.1	25.851104397402867	12.698888253413246	4.8687646489032086e-06	1.5632588812782446e-06	-3.5302527054150596e-09	-3.255775516059376e-09	-3.1344856612797296e-08	-3.1590939274132085e-11	1.5632588812782446e-06	5.330889122358922e-07	5.856456260377054e-09	1.3346226384415666e-09	-8.126344925425997e-09	-9.982477823715277e-12	-3.5302527054150596e-09	5.856456260377054e-09	4.595624015447116e-06	1.447495614150739e-06	2.9716189354701052e-08	-3.1351116479209715e-10	-3.255775516059376e-09	1.3346226384415666e-09	1.447495614150739e-06	4.8870842121834e-07	9.003850906450807e-09	-9.123118563104594e-11	-3.1344856612797296e-08	-8.126344925425997e-09	2.9716189354701052e-08	9.003850906450807e-09	1.61855155526664e-06	7.404055998234428e-11	-3.1590939274132085e-11	-9.982477823715277e-12	-3.1351116479209715e-10	-9.123118563104594e-11	7.404055998234428e-11	1.0152490636649415e-10
4	1.101	LAT001.2	25.85124921179045	12.698962253413246	8.53728465056276e-06	2.09747493750019e-06	4.090887644562696e-10	-1.9192321135542204e-09	-3.949062139826579e-08	-3.442827609310656e-08	2.09747493750019e-06	5.330859161987192e-07	7.192948541748279e-09	1.3346150060638964e-09	-8.12490753900169e-09	-6.745785663702449e-09	4.090887644562696e-10	7.192948541748279e-09	7.987543702070067e-06	1.9372353373579807e-06	3.876242182066169e-08	2.6751983875891897e-08	-1.9192321135542204e-09	1.3346150060638964e-09	1.9372353373579807e-06	4.887056750616086e-07	9.009580109558685e-09	6.503450576561951e-09	-3.949062139826579e-08	-8.12490753900169e-09	3.876242182066169e-08	9.009580109558685e-09	1.6202047450906797e-06	2.2014785308413793e-06	-3.442827609310656e-08	-6.745785663702449e-09	2.6751983875891897e-08	6.503450576561951e-09	2.2014785308413793e-06	3.7470147549998926e-06
5	1.202	ACAT11.2	25.85124921179045	12.698962253413246	8.968269555907295e-06	2.151546628344574e-06	9.562657444914463e-10	-1.78404779745271e-09	-4.031949234873231e-08	-3.511350920777385e-08	2.151546628344574e-06	5.330859161987192e-07	7.3281328578497675e-09	1.3346150060638964e-09	-8.125543310134542e-09	-6.745785663702449e-09	9.562657444914463e-10	7.3281328578497675e-09	8.385562783215336e-06	1.986805079473018e-06	3.9681481220372516e-08	2.7409758774961558e-08	-1.78404779745271e-09	1.3346150060638964e-09	1.986805079473018e-06	4.887056750616086e-07	9.010916358337697e-09	6.503450576561951e-09	-4.031949234873231e-08	-8.125543310134542e-09	3.9681481220372516e-08	9.010916358337697e-09	1.6208785263645162e-06	2.202051422537488e-06	-3.511350920777385e-08	-6.745785663702449e-09	2.7409758774961558e-08	6.503450576561951e-09	2.202051422537488e-06	3.7470147549998926e-06
6	2.202	$$$	25.851394026178035	12.699036253413247	1.383891912443653e-05	2.688044336305378e-06	7.860248782991941e-09	-4.4364307542205513e-10	-4.8555246996961736e-08	-8.369896436477311e-08	2.688044336305378e-06	5.330829321332334e-07	8.668486459519935e-09	1.3346073778577407e-09	-8.131772573290704e-09	-1.3466209889474393e-08	7.860248782991941e-09	8.668486459519935e-09	1.2879613439487703e-05	2.47863250351816e-06	4.881137447683456e-08	6.835380315422432e-08	-4.4364307542205513e-10	1.3346073778577407e-09	2.47863250351816e-06	4.887029400330867e-07	9.024165103623797e-09	1.3094482910090051e-08	-4.8555246996961736e-08	-8.131772573290704e-09	4.881137447683456e-08	9.024165103623797e-09	1.627548501720778e-06	4.414071522830693e-06	-8.369896436477311e-08	-1.3466209889474393e-08	6.835380315422432e-08	1.3094482910090051e-08	4.414071522830693e-06	1.4974413529400958e-05
