!S	AX	BX	GMX	NX	AY	BY	GMY	NY	EX	EPX	EY	EPY	R1	R2	R3	R4	DETR	DX	DPX	DY	DPY	DZ	DDP	AZ	BZ	GMZ	NZ	ZX	ZPX	ZY	ZPY
0	-3.8033116413956574	11.511692021425809	1.343432347980784	0	-3.6016816373172675	11.13135337744044	1.25520322128172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
0	-3.8033116413956574	11.511692021425809	1.343432347980784	0	-3.6016816373172675	11.13135337744044	1.25520322128172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
.101	-3.9389983085417164	12.293665326369483	1.3434323479807837	.008490168650235554	-3.7284571626667216	11.871697396238822	1.2552032212817201	.008786108605096937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
1.101	-5.282430653543432	21.515094359509902	1.3434323422671575	.07001659884369739	-4.983660381161238	20.583815008276858	1.2552032159425761	.07280045383913096	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7625966502057614e-17	0	0	1	1	0	0	0	0	0
1.202	-5.418117320112415	22.595849704849144	1.3434323422671572	.07459735238849885	-5.110435905971438	21.60331873327726	1.2552032159425761	.0775900606487091	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7625966502057614e-17	0	0	1	1	0	0	0	0	0
2.202	-6.76154965929637	34.775516804805015	1.3434323365303846	.11027868147871249	-6.365639119028682	33.0793938731741	1.255203210581806	.11500648919665621	0	0	0	0	0	0	0	0	0	0	0	0	0	3.520528332628969e-17	0	0	1	1	0	0	0	0	0
