# Marker      S (mm)         S (m)        2005        2006        2007        2008        2009        2010        2011        2012
          54  2228920.5      2228.9      -7.420      -9.230      -9.690     -11.020     -10.750     -11.860     -12.350     -13.310
          55  2215494.8      2215.5      -7.760      -9.520     -10.130     -11.440     -11.170     -12.250     -12.640     -13.550
          56  2200643.0      2200.6      -8.360     -10.120     -10.760     -12.090     -11.860     -12.940     -13.260     -14.200
          57  2186717.3      2186.7      -8.660     -10.380     -11.070     -12.410     -12.250     -13.280     -13.550     -14.490
          58  2174494.5      2174.5      -8.960     -10.730     -11.450     -12.760     -12.660     -13.680     -13.790     -14.750
          59  2160271.8      2160.3      -8.860     -10.620     -11.430     -12.720     -12.620     -13.760     -13.850     -14.890
          60  2142534.0      2142.5      -9.030     -10.680     -11.630     -12.960     -12.870     -14.000     -16.640     -17.950
          61  2127074.8      2127.1      -9.140     -10.810     -11.830     -13.140     -13.130     -14.060     -15.250     -16.280
          62  2111339.5      2111.3      -9.510     -11.210     -12.240     -13.610     -13.660     -14.440     -15.720     -16.800
          63  2094173.3      2094.2      -9.860     -11.630     -12.560     -14.070     -14.060     -14.950     -17.740     -19.010
          64  2079007.0      2079.0     -10.570     -12.310     -13.310     -14.980     -15.010     -15.830     -20.020     -21.320
          65  2062995.9      2063.0     -12.000     -13.800     -14.850     -16.660     -16.740     -17.620     -21.910     -23.160
          66  2046826.3      2046.8     -12.680     -14.570     -15.610     -17.510     -17.750     -18.780     -22.580     -23.860
          67  2030735.8      2030.7     -13.010     -14.980     -15.950     -17.940     -18.160     -19.420     -22.610     -23.860
          68  2014645.4      2014.6     -13.910     -16.030     -16.980     -19.180     -19.350     -20.690     -23.280     -24.760
          69  1999479.1      1999.5     -14.990     -17.080     -18.130     -20.370     -20.670     -21.940     -24.410     -25.740
          70  1982312.9      1982.3     -15.820     -17.980     -19.070     -21.360     -21.820     -23.220     -25.730     -27.210
          71  1965049.7      1965.0     -15.940     -18.140     -19.310     -21.590     -22.150     -23.550     -25.490     -26.950
